time_Myr,trench_loc,trench_rel_topo,neutral_plane_depth,shear_res_trench,trench_gpe_est,Fd_trench,delta_Fd,delta_gpe
0.0,-1599978.375,0.0,-99.0,-8.001648328704,-0.0,15.652866752511999,-38.0485238784,-19.024289202176
0.22688882681979258,63025.078125,1423.7027778625488,26960.140867165515,0.191748243456,1.223753248988086,-3.17819060224,1.3377879408639999,1.349341151232
0.5592364666500509,58004.125,1888.1691093444824,27597.49979308705,-0.540148170752,1.6613571136163041,-4.139052171264,1.651084886016,1.659300216832
0.9625605271232027,96977.2890625,1718.632625579834,25405.103702018303,-0.018245541888,1.3920549928036587,-3.4506819502079997,1.103983280128,1.114292355072
1.3755213305849663,129012.4296875,1433.8518447875977,27066.122213249924,-0.324115234816,1.2373218614460402,-2.489127534592,1.580588335104,1.589775433728
1.7656249244401006,150998.859375,1358.9280281066895,26954.52759850395,-0.442189545472,1.167832478808471,-1.935421865984,1.546397679616,1.554459394048
2.1656019747068966,173994.25,1414.2011032104492,27616.66594411073,-0.169307308032,1.2451875987101808,-0.83378765824,0.9888432783359999,1.002371547136
2.5623952727560124,196009.890625,1468.0344772338867,28386.27564172816,-0.018126538751999998,1.3286085386339124,-0.49417335603199997,1.436474277888,1.45022255104
2.9649489665668978,218012.046875,1603.9095153808594,28462.36908983033,0.152889131008,1.4554700675386674,-0.173877313536,1.470812389376,1.48209926144
3.389007470998696,242006.5625,1702.8269653320312,28911.917924496043,0.379439284224,1.569639031529845,0.11956297728,1.466395394048,1.479817560064
3.828441115988262,267026.96875,1840.5766906738281,28998.15519984637,0.5095489536,1.7016751469654654,0.275877036032,1.486067335168,1.4973161963519999
4.2633556213086585,291980.75,1885.2078399658203,29062.77766636818,0.557029392384,1.746822290134098,0.242381881344,1.581973897216,1.59408717824
4.697624226041195,317997.125,1907.3890075683594,29018.811297161054,0.50718670848,1.76470152979147,0.205042548736,1.560056430592,1.575313473536
5.133774128267528,343003.09375,1852.3358306884766,28910.661549784512,0.466636898304,1.7073797470047367,0.152447811584,1.423788474368,1.437438312448
5.574023558977701,369983.40625,1780.7173461914062,28712.14808860236,0.335988916224,1.6300954788619355,-0.044728971264,1.41814595584,1.4327071375359999
6.019187455108792,396997.0,1744.369125366211,28465.96298297471,0.259862790144,1.5831302226754131,-0.284272197632,1.47551617024,1.48805517312
6.469793010012215,424004.59375,1649.7078247070312,28206.71671254255,0.20644942643199998,1.483583311790011,-0.683808391168,1.47577503744,1.489716117504
6.923076402523158,451017.5,1584.86181640625,27849.977829129835,0.192653950976,1.407241468314977,-0.929543421952,1.317397200896,1.330902990848
7.371148260341583,477987.375,1521.1322479248047,27212.517762230316,0.112767533056,1.3197390500893083,-1.5302159237119999,1.19184818176,1.207154245632
7.8127059333446045,504015.34375,1453.1070175170898,26373.888077836207,0.036801691648,1.2218675394268503,-2.543398158336,1.090722332672,1.106759385088
8.241786321026371,529995.875,1367.448013305664,25336.81903424399,-0.07281201152,1.1046260542744926,-3.889512054784,1.110282862592,1.125986074624
8.648499254309009,554004.625,1301.5044136047363,24516.99693925397,-0.141610795008,1.0173380460750705,-4.859265810432,1.156088594432,1.172089864192
9.023258744966567,575012.3125,1265.4857368469238,24525.197864566584,-0.144520036352,0.9895144550599572,-4.695511793664,1.011332415488,1.028208459776
9.373138235915828,593982.5625,1255.666576385498,24972.947545508636,-0.140638994432,0.9997617282684105,-4.2626711552,1.167975514112,1.1857800724479999
9.721109808478337,611023.3125,1289.714958190918,25473.47384158228,-0.067609124864,1.047452359388917,-3.38587418624,1.104636542976,1.124174135296
10.082825110663316,629017.6875,1344.1134872436523,26210.091594950805,-0.028184147968,1.1231993564995526,-2.782179622912,1.452845432832,1.4697176760319999
10.46514587596892,647985.0,1391.6612396240234,26735.342831591006,0.036451803136,1.1862375226063786,-2.192162422784,1.4567009157119999,1.474666954752
10.865770909678076,668979.4375,1416.0147705078125,27284.75898200532,0.073036087296,1.2318002097514165,-1.37379905536,1.176265424896,1.195410194432
11.280313849072783,690984.0625,1427.5789031982422,27501.863544863118,0.1187520512,1.2517413893261233,-1.363490635776,1.47648151552,1.49426274304
